,Location,Type,Amount,Year
142,Daviot Primary School,Electric kWh,303602.638548308,2001/02
143,Deshar Primary School,Electric kWh,1162874.5158575876,2001/02
144,Dingwall Community Centre,Electric kWh,12632.978933213804,2001/02
145,Dingwall Primary School,Electric kWh,530318.7429365445,2001/02
146,Dingwall Primary School,Oil kWh,661394.2049600376,2001/02
147,Dochgarroch Primary School,Electric kWh,147709.25056626057,2001/02
148,Drakies Primary School,Electric kWh,296.39999999999986,2001/02
149,Dunbeath Primary School,Electric kWh,755590.1615925065,2001/02
150,Duncan Forbes Primary School,Electric kWh,553655.713485449,2001/02
151,Duncan Forbes Primary School,Oil kWh,424685.74944431026,2001/02
152,Dunnet Bay Pavilion Ranger Base,Electric kWh,239120.3859735165,2001/02
153,Dunvegan Primary School,Electric kWh,660200.2679236068,2001/02
154,Durness Primary School,Electric kWh,136216.27777777775,2001/02
155,Durness Primary School,Oil kWh,108807.24953581848,2001/02
156,Duror Primary School,Electric kWh,173611.5203531143,2001/02
157,Edderton Primary School,Electric kWh,86364.85290581163,2001/02
158,Edderton Primary School,Oil kWh,50268.3570671104,2001/02
159,Edinbane Primary School,Electric kWh,609840.3950399214,2001/02
160,Elgin Hostel ,Electric kWh,0.0,2001/02
161,Elgin Hostel ,Oil kWh,411809.363433915,2001/02
162,Elgol Primary School,Electric kWh,153399.13905226206,2001/02
163,Farr High School,Electric kWh,343271.02127659577,2001/02
164,Farr Primary School,Electric kWh,394464.19904928544,2001/02
165,Ferintosh Primary School,Electric kWh,5657.424308907417,2001/02
166,Ferintosh Primary School,Oil kWh,90597.13640684832,2001/02
167,Ferry Brae  Sports Pavilion ,Electric kWh,14548.749878817249,2001/02
168,Fort Augustus Memorial Hall Service Point,Electric kWh,0.0,2001/02
169,Fortrose Academy,Electric kWh,0.0,2001/02
170,Fortrose Academy,Oil kWh,863412.9952020644,2001/02
171,Foyers Primary School,Electric kWh,0.0,2001/02
172,Fraser Park Pavilion,Electric kWh,0.0,2001/02
173,Gairloch High School,Electric kWh,99642.03715450833,2001/02
174,Gairloch Primary School,Electric kWh,12601.364516451678,2001/02
175,Gergask Primary School (Mothballed),Electric kWh,18625.779303580195,2001/02
176,Gledfield Primary School,Electric kWh,1808610.2046838398,2001/02
177,Glencoe Primary School,Electric kWh,335814.7444168734,2001/02
178,Glenelg Primary School,Electric kWh,562321.3455303384,2001/02
179,Glenurquhart Primary School,Electric kWh,335477.28074178204,2001/02
180,Glenurquhart Primary School,Oil kWh,168313.03064906067,2001/02
181,Golspie High School,Electric kWh,0.0,2001/02
182,Golspie High School,Oil kWh,990302.3399926389,2001/02
183,Golspie Primary School,Electric kWh,24576.45951859654,2001/02
184,Golspie Primary School,Oil kWh,263026.97924180207,2001/02
185,Grantown Grammar School,Electric kWh,0.0,2001/02
186,Grantown Grammar School,Oil kWh,1430817.470491313,2001/02
187,Grantown Primary School,Electric kWh,704109.9000000004,2001/02
188,Grantown Primary School,Oil kWh,258001.23207700957,2001/02
189,Halkirk Primary School,Electric kWh,270728.611111111,2001/02
190,Halkirk Primary School,Oil kWh,611967.6456197853,2001/02
191,Helmsdale Primary School,Electric kWh,13516.155224703612,2001/02
192,Helmsdale Primary School,Oil kWh,417403.48822593497,2001/02
193,Hill of Fearn Primary School,Electric kWh,97556.78515803936,2001/02
194,Hilton Primary School (Fearn),Electric kWh,329981.6626736944,2001/02
195,Hilton Primary School (Fearn),Oil kWh,141434.04811402134,2001/02
196,Hilton Primary School (Inv.),Electric kWh,455360.200936768,2001/02
197,Hilton Primary School (Inv.),Oil kWh,644880.8959605105,2001/02
198,Holm Primary School,Electric kWh,7588.468024632879,2001/02
199,Inver Primary School,Electric kWh,142401.23333333334,2001/02
200,Invergarry Primary School,Electric kWh,116958.4121779859,2001/02
201,Invergordon Academy,Electric kWh,281939.81102362217,2001/02
202,Invergordon Academy,Oil kWh,833563.67679744,2001/02
203,Inverlochy Primary School,Electric kWh,92842.55503512883,2001/02
204,Inverlochy Primary School,Oil kWh,393113.3389183396,2001/02
205,Inverness Child Guidance Centre,Electric kWh,144854.3999999999,2001/02
206,Inverness High School,Electric kWh,4302.078497139154,2001/02
207,Inverness High School,Oil kWh,1107.6043502295147,2001/02
208,Keiss Primary School,Electric kWh,18782.399999999994,2001/02
209,Kilchoan Primary School,Electric kWh,542186.1914080073,2001/02
210,Kilchuimen Academy,Electric kWh,663181.4803683958,2001/02
211,Kilchuimen Academy,Oil kWh,345792.4535382521,2001/02
212,Kilmuir Primary School,Electric kWh,81800.8342117873,2001/02
213,Kilmuir Primary School,Oil kWh,56739.13741209116,2001/02
214,Kiltearn Primary School,Electric kWh,215172.9914591191,2001/02
215,Kiltearn Primary School,Oil kWh,132667.54036368107,2001/02
216,Kingussie High School,Electric kWh,0.0,2001/02
217,Kingussie High School,Oil kWh,821296.8117205602,2001/02
218,Kingussie Primary School,Electric kWh,0.0,2001/02
219,Kingussie Primary School,Oil kWh,323336.1937540697,2001/02
220,Kinlochbervie High School,Electric kWh,0.0,2001/02
221,Kinlochewe Primary School,Electric kWh,101503.22759942496,2001/02
222,Kinmylies Primary School,Electric kWh,0.0,2001/02
223,Kinmylies Primary School,Oil kWh,496777.02331381565,2001/02
224,Kirkhill Primary School,Electric kWh,0.0,2001/02
225,Knockbreck Primary School (Skye),Electric kWh,5190.34824357967,2001/02
226,Knockbreck Primary School (Tain),Electric kWh,2823.222482435597,2001/02
227,Kyle Primary School,Electric kWh,13103.37804278995,2001/02
228,Kyleakin Primary School,Electric kWh,13550.303173851247,2001/02
229,Lady Lovat Primary School,Electric kWh,347.75822139879574,2001/02
230,Lairg Primary School,Electric kWh,20448.53000458085,2001/02
231,Lairg Primary School,Oil kWh,226926.5983439499,2001/02
232,Loch Duich Primary School,Electric kWh,5218.207040296429,2001/02
233,Lochaber High School,Electric kWh,0.0,2001/02
234,Lochaber High School,Oil kWh,3572583.6340853823,2001/02
235,Lochaline Primary School,Electric kWh,0.0,2001/02
236,Lochardil Primary School,Electric kWh,1880.289492589736,2001/02
237,Lochardil Primary School,Oil kWh,262359.573962463,2001/02
238,Lochcarron Primary School,Electric kWh,2914.0056206089002,2001/02
239,Lochcarron Primary School,Oil kWh,73157.08964251191,2001/02
240,Lochinver Primary School,Electric kWh,0.0,2001/02
241,Lochinver Primary School,Oil kWh,132623.61769778663,2001/02
242,Lybster Primary School,Electric kWh,1688.2888888888892,2001/02
243,Lybster Primary School,Oil kWh,772531.6837733438,2001/02
244,MacDiarmid Primary School,Electric kWh,6719.6556411418205,2001/02
245,Mallaig High School,Electric kWh,11380.5,2001/02
246,Mallaig High School Residences,Electric kWh,0.0,2001/02
247,Mallaig Primary School,Electric kWh,3540.6741734547186,2001/02
248,Mallaig Primary School,Oil kWh,158808.19053422258,2001/02
249,Marybank Primary School,Electric kWh,5237.063756743503,2001/02
250,Melvich Primary School,Electric kWh,6391.394181502389,2001/02
251,Melvich Primary School,Oil kWh,100548.87710966737,2001/02
252,Merkinch Family Centre,Electric kWh,3140.636533957847,2001/02
253,Merkinch Primary School,Electric kWh,1275.0564481111594,2001/02
254,Millbank Park Boating Shed,Electric kWh,1.4589228398500635,2001/02
255,Millbank Primary School,Electric kWh,27907.74285714287,2001/02
256,Millbank Primary School,Oil kWh,321641.08341586386,2001/02
257,Miller Academy Primary School,Electric kWh,0.0,2001/02
258,Miller Academy Primary School,Oil kWh,319156.653932956,2001/02
259,Milton Of Leys Primary School,Electric kWh,3237.7982003966017,2001/02
260,Milton Primary School,Electric kWh,0.0,2001/02
261,Milton Primary School,Oil kWh,367467.8981907955,2001/02
262,Morven Youth Club,Electric kWh,103932.8660421546,2001/02
263,Mount Pleasant Primary School,Electric kWh,0.0,2001/02
264,Mount Pleasant Primary School,Oil kWh,430590.46682123706,2001/02
265,Muir of Ord Library,Electric kWh,8117.499281264973,2001/02
266,Muirtown Primary School,Electric kWh,19144.40807371654,2001/02
267,Mulbuie Primary School,Electric kWh,5732.8624363131075,2001/02
268,Mulbuie Primary School,Oil kWh,51987.08439811207,2001/02
269,Munlochy Primary School,Electric kWh,41967.270230505135,2001/02
270,Munlochy Primary School,Oil kWh,95680.91182209492,2001/02
271,Nairn Academy,Electric kWh,19781.433519291826,2001/02
272,Newmore Primary School,Electric kWh,14759.573770491806,2001/02
273,Newtonmore Primary School,Electric kWh,2062.432432432434,2001/02
274,North Kessock Primary School,Electric kWh,163140.41445664607,2001/02
275,Obsdale Primary School,Electric kWh,9829.00185270959,2001/02
276,Obsdale Primary School,Oil kWh,437427.31612869503,2001/02
277,Park Primary School,Electric kWh,7705.504548244876,2001/02
278,Park Primary School,Oil kWh,416847.98629840265,2001/02
279,Pefferside Park,Electric kWh,1019.5956969968623,2001/02
280,Pennyland Primary School,Electric kWh,0.0,2001/02
281,Plockton High School,Electric kWh,64633.5773847074,2001/02
282,Plockton High School,Oil kWh,1022379.4632303583,2001/02
283,Plockton Primary School,Electric kWh,15810.821619053077,2001/02
284,Poolewe Primary School,Electric kWh,2984.8596572487263,2001/02
285,Portree Primary School,Electric kWh,45579.88794262664,2001/02
