,Location,Type,Amount,Year
6803,Deshar Primary School,Electric kWh,143599.1999999754,2017/18
6804,Deshar Primary School,Gas kWh,0.0,2017/18
6805,Deshar Primary School,Oil kWh,0.0,2017/18
6806,Deshar Primary School,Propane kWh,0.0,2017/18
6807,Deshar Primary School,Water m3,4713.5882352733,2017/18
6808,Dingwall Community Centre,Biomass kWh,0.0,2017/18
6809,Dingwall Community Centre,Electric kWh,9677.9999999887,2017/18
6810,Dingwall Community Centre,Gas kWh,93517.5999999864,2017/18
6811,Dingwall Community Centre,Oil kWh,0.0,2017/18
6812,Dingwall Community Centre,Propane kWh,0.0,2017/18
6813,Dingwall Community Centre,Water m3,189.9999999834,2017/18
6814,Dingwall Primary School,Biomass kWh,372339.9999999836,2017/18
6815,Dingwall Primary School,Electric kWh,297741.999999986,2017/18
6816,Dingwall Primary School,Gas kWh,0.0,2017/18
6817,Dingwall Primary School,Oil kWh,0.0,2017/18
6818,Dingwall Primary School,Propane kWh,0.0,2017/18
6819,Dingwall Primary School,Water m3,1729.999999994,2017/18
6820,Dochgarroch Primary School,Biomass kWh,0.0,2017/18
6821,Dochgarroch Primary School,Electric kWh,61092.9999999846,2017/18
6822,Dochgarroch Primary School,Gas kWh,0.0,2017/18
6823,Dochgarroch Primary School,Oil kWh,0.0,2017/18
6824,Dochgarroch Primary School,Propane kWh,0.0,2017/18
6825,Dochgarroch Primary School,Water m3,380.9999999799,2017/18
6826,Dornoch Academy,Biomass kWh,0.0,2017/18
6827,Dornoch Academy,Electric kWh,599740.9999999717,2017/18
6828,Dornoch Academy,Gas kWh,0.0,2017/18
6829,Dornoch Academy,Oil kWh,0.0,2017/18
6830,Dornoch Academy,Propane kWh,0.0,2017/18
6831,Dornoch Academy,Water m3,-8366.0000000242,2017/18
6832,Dornoch Primary School,Biomass kWh,214969.9999999836,2017/18
6833,Dornoch Primary School,Electric kWh,35654.999999983,2017/18
6834,Dornoch Primary School,Gas kWh,0.0,2017/18
6835,Dornoch Primary School,Oil kWh,9624.1818181595,2017/18
6836,Dornoch Primary School,Propane kWh,0.0,2017/18
6837,Dornoch Primary School,Water m3,0.0,2017/18
6838,Drakies Primary School,Biomass kWh,0.0,2017/18
6839,Drakies Primary School,Electric kWh,142641.599999982,2017/18
6840,Drakies Primary School,Gas kWh,361779.2999999829,2017/18
6841,Drakies Primary School,Oil kWh,0.0,2017/18
6842,Drakies Primary School,Propane kWh,0.0,2017/18
6843,Drakies Primary School,Water m3,112.9999999808,2017/18
6844,Dunbeath Primary School,Biomass kWh,0.0,2017/18
6845,Dunbeath Primary School,Electric kWh,71083.9999999791,2017/18
6846,Dunbeath Primary School,Gas kWh,0.0,2017/18
6847,Dunbeath Primary School,Oil kWh,0.0,2017/18
6848,Dunbeath Primary School,Propane kWh,0.0,2017/18
6849,Dunbeath Primary School,Water m3,73.9999999843,2017/18
6850,Duncan Forbes Primary School,Biomass kWh,0.0,2017/18
6851,Duncan Forbes Primary School,Electric kWh,77916.9999999845,2017/18
6852,Duncan Forbes Primary School,Gas kWh,287429.4099999788,2017/18
6853,Duncan Forbes Primary School,Oil kWh,0.0,2017/18
6854,Duncan Forbes Primary School,Propane kWh,0.0,2017/18
6855,Duncan Forbes Primary School,Water m3,282.9999999814,2017/18
6856,Dunnet Bay Pavilion,Biomass kWh,0.0,2017/18
6857,Dunnet Bay Pavilion,Electric kWh,14981.9999999877,2017/18
6858,Dunnet Bay Pavilion,Gas kWh,0.0,2017/18
6859,Dunnet Bay Pavilion,Oil kWh,0.0,2017/18
6860,Dunnet Bay Pavilion,Propane kWh,0.0,2017/18
6861,Dunnet Bay Pavilion,Water m3,739.9999999841,2017/18
6862,Dunvegan Primary School,Biomass kWh,0.0,2017/18
6863,Dunvegan Primary School,Electric kWh,104484.999999972,2017/18
6864,Dunvegan Primary School,Gas kWh,0.0,2017/18
6865,Dunvegan Primary School,Oil kWh,0.0,2017/18
6866,Dunvegan Primary School,Propane kWh,0.0,2017/18
6867,Dunvegan Primary School,Water m3,-482.0000000249,2017/18
6868,Durness Primary School,Biomass kWh,0.0,2017/18
6869,Durness Primary School,Electric kWh,13779.9999999882,2017/18
6870,Durness Primary School,Gas kWh,0.0,2017/18
6871,Durness Primary School,Oil kWh,14877.2979709375,2017/18
6872,Durness Primary School,Propane kWh,0.0,2017/18
6873,Durness Primary School,Water m3,10.9999999912,2017/18
6874,Duror Primary School,Biomass kWh,0.0,2017/18
6875,Duror Primary School,Electric kWh,26090.9999999867,2017/18
6876,Duror Primary School,Gas kWh,0.0,2017/18
6877,Duror Primary School,Oil kWh,0.0,2017/18
6878,Duror Primary School,Propane kWh,0.0,2017/18
6879,Duror Primary School,Water m3,151.9999999867,2017/18
6880,Duthac House Resource Centre (Former),Biomass kWh,0.0,2017/18
6881,Duthac House Resource Centre (Former),Electric kWh,6916.9999999833,2017/18
6882,Duthac House Resource Centre (Former),Gas kWh,0.0,2017/18
6883,Duthac House Resource Centre (Former),Oil kWh,3999.999999999,2017/18
6884,Duthac House Resource Centre (Former),Propane kWh,0.0,2017/18
6885,Duthac House Resource Centre (Former),Water m3,-98.9999999908,2017/18
6886,Edderton Primary School,Biomass kWh,105810.0,2017/18
6887,Edderton Primary School,Electric kWh,18571.9999999759,2017/18
6888,Edderton Primary School,Gas kWh,0.0,2017/18
6889,Edderton Primary School,Oil kWh,0.0,2017/18
6890,Edderton Primary School,Propane kWh,0.0,2017/18
6891,Edderton Primary School,Water m3,1.999999999,2017/18
6892,Edderton Schoolhouse,Biomass kWh,0.0,2017/18
6893,Edderton Schoolhouse,Electric kWh,4169.9999999831,2017/18
6894,Edderton Schoolhouse,Gas kWh,0.0,2017/18
6895,Edderton Schoolhouse,Oil kWh,0.0,2017/18
6896,Edderton Schoolhouse,Propane kWh,0.0,2017/18
6897,Edderton Schoolhouse,Water m3,0.0,2017/18
6898,Edinbane Primary School,Biomass kWh,0.0,2017/18
6899,Edinbane Primary School,Electric kWh,53251.9999999847,2017/18
6900,Edinbane Primary School,Gas kWh,0.0,2017/18
6901,Edinbane Primary School,Oil kWh,0.0,2017/18
6902,Edinbane Primary School,Propane kWh,0.0,2017/18
6903,Edinbane Primary School,Water m3,101.9999999893,2017/18
6904,Elgin Residence ( formerly Elgin Hostel ),Biomass kWh,242954.98895026,2017/18
6905,Elgin Residence ( formerly Elgin Hostel ),Electric kWh,90784.9999999857,2017/18
6906,Elgin Residence ( formerly Elgin Hostel ),Gas kWh,0.0,2017/18
6907,Elgin Residence ( formerly Elgin Hostel ),Oil kWh,445.633187766,2017/18
6908,Elgin Residence ( formerly Elgin Hostel ),Propane kWh,0.0,2017/18
6909,Elgin Residence ( formerly Elgin Hostel ),Water m3,0.0,2017/18
6910,Elgol Primary School,Biomass kWh,0.0,2017/18
6911,Elgol Primary School,Electric kWh,11798.9999999802,2017/18
6912,Elgol Primary School,Gas kWh,0.0,2017/18
6913,Elgol Primary School,Oil kWh,0.0,2017/18
6914,Elgol Primary School,Propane kWh,0.0,2017/18
6915,Elgol Primary School,Water m3,39.9999999869,2017/18
6916,Equipment Store 14-16 Seafield Road,Biomass kWh,0.0,2017/18
6917,Equipment Store 14-16 Seafield Road,Electric kWh,0.0,2017/18
6918,Equipment Store 14-16 Seafield Road,Gas kWh,0.0,2017/18
6919,Equipment Store 14-16 Seafield Road,Oil kWh,0.0,2017/18
6920,Equipment Store 14-16 Seafield Road,Propane kWh,0.0,2017/18
6921,Equipment Store 14-16 Seafield Road,Water m3,14.4090150246,2017/18
6922,Farr High School,Biomass kWh,592229.999999984,2017/18
6923,Farr High School,Electric kWh,143208.3999999809,2017/18
6924,Farr High School,Gas kWh,0.0,2017/18
6925,Farr High School,Oil kWh,0.0,2017/18
6926,Farr High School,Propane kWh,0.0,2017/18
6927,Farr High School,Water m3,0.0,2017/18
6928,Farr Primary School,Biomass kWh,0.0,2017/18
6929,Farr Primary School,Electric kWh,92007.3999999871,2017/18
6930,Farr Primary School,Gas kWh,0.0,2017/18
6931,Farr Primary School,Oil kWh,0.0,2017/18
6932,Farr Primary School,Propane kWh,0.0,2017/18
6933,Farr Primary School,Water m3,527.9999999736,2017/18
6934,Fascally Pavilion,Biomass kWh,0.0,2017/18
6935,Fascally Pavilion,Electric kWh,0.0,2017/18
6936,Fascally Pavilion,Gas kWh,0.0,2017/18
6937,Fascally Pavilion,Oil kWh,0.0,2017/18
6938,Fascally Pavilion,Propane kWh,0.0,2017/18
6939,Fascally Pavilion,Water m3,0.0,2017/18
6940,Fearn Public Hall,Biomass kWh,0.0,2017/18
6941,Fearn Public Hall,Electric kWh,938.9999999855,2017/18
6942,Fearn Public Hall,Gas kWh,0.0,2017/18
6943,Fearn Public Hall,Oil kWh,0.0,2017/18
6944,Fearn Public Hall,Propane kWh,0.0,2017/18
6945,Fearn Public Hall,Water m3,0.0,2017/18
6946,Ferintosh Primary School,Biomass kWh,0.0,2017/18
6947,Ferintosh Primary School,Electric kWh,28230.0999999794,2017/18
6948,Ferintosh Primary School,Gas kWh,0.0,2017/18
6949,Ferintosh Primary School,Oil kWh,8696.3444975829,2017/18
6950,Ferintosh Primary School,Propane kWh,0.0,2017/18
6951,Ferintosh Primary School,Water m3,12.9999999923,2017/18
6952,Ferry Brae Pavilion North Kessock,Biomass kWh,0.0,2017/18
6953,Ferry Brae Pavilion North Kessock,Electric kWh,560.9999999862,2017/18
6954,Ferry Brae Pavilion North Kessock,Gas kWh,0.0,2017/18
6955,Ferry Brae Pavilion North Kessock,Oil kWh,0.0,2017/18
6956,Ferry Brae Pavilion North Kessock,Propane kWh,0.0,2017/18
6957,Ferry Brae Pavilion North Kessock,Water m3,0.0,2017/18
6958,Fort Augustus Memorial Hall (Service Point forms part),Biomass kWh,0.0,2017/18
6959,Fort Augustus Memorial Hall (Service Point forms part),Electric kWh,26370.9999999876,2017/18
6960,Fort Augustus Memorial Hall (Service Point forms part),Gas kWh,0.0,2017/18
6961,Fort Augustus Memorial Hall (Service Point forms part),Oil kWh,0.0,2017/18
6962,Fort Augustus Memorial Hall (Service Point forms part),Propane kWh,0.0,2017/18
6963,Fort Augustus Memorial Hall (Service Point forms part),Water m3,71.9999999828,2017/18
6964,Fort William Gaelic School,Biomass kWh,422629.999999985,2017/18
6965,Fort William Gaelic School,Electric kWh,148548.9999999798,2017/18
6966,Fort William Gaelic School,Gas kWh,0.0,2017/18
6967,Fort William Gaelic School,Oil kWh,0.0,2017/18
6968,Fort William Gaelic School,Propane kWh,0.0,2017/18
6969,Fort William Gaelic School,Water m3,-3766.5373134285,2017/18
6970,Fort William Primary School,Biomass kWh,0.0,2017/18
6971,Fort William Primary School,Electric kWh,0.0,2017/18
6972,Fort William Primary School,Gas kWh,0.0,2017/18
6973,Fort William Primary School,Oil kWh,0.0,2017/18
6974,Fort William Primary School,Propane kWh,0.0,2017/18
6975,Fort William Primary School,Water m3,842.9999999773,2017/18
6976,Fort William RC Primary School,Biomass kWh,0.0,2017/18
6977,Fort William RC Primary School,Electric kWh,10138.4910179405,2017/18
6978,Fort William RC Primary School,Gas kWh,0.0,2017/18
6979,Fort William RC Primary School,Oil kWh,0.0,2017/18
6980,Fort William RC Primary School,Propane kWh,0.0,2017/18
6981,Fort William RC Primary School,Water m3,248.1084337212,2017/18
6982,Fortrose Academy,Biomass kWh,0.0,2017/18
6983,Fortrose Academy,Electric kWh,330135.9999999809,2017/18
6984,Fortrose Academy,Gas kWh,0.0,2017/18
6985,Fortrose Academy,Oil kWh,91116.9714285421,2017/18
6986,Fortrose Academy,Propane kWh,0.0,2017/18
6987,Fortrose Academy,Water m3,2597.551724122,2017/18
6988,Foyers Primary School,Biomass kWh,0.0,2017/18
6989,Foyers Primary School,Electric kWh,61016.9999999879,2017/18
6990,Foyers Primary School,Gas kWh,0.0,2017/18
6991,Foyers Primary School,Oil kWh,0.0,2017/18
6992,Foyers Primary School,Propane kWh,0.0,2017/18
6993,Foyers Primary School,Water m3,241.999999985,2017/18
6994,Fraser Park Pavilion,Biomass kWh,0.0,2017/18
6995,Fraser Park Pavilion,Electric kWh,4325.9999999881,2017/18
6996,Fraser Park Pavilion,Gas kWh,44496.3199999816,2017/18
6997,Fraser Park Pavilion,Oil kWh,0.0,2017/18
6998,Fraser Park Pavilion,Propane kWh,0.0,2017/18
6999,Fraser Park Pavilion,Water m3,884.9999999727,2017/18
7000,Gaelic Playgroup - Croileagan Inbhir Pheorsa,Biomass kWh,0.0,2017/18
7001,Gaelic Playgroup - Croileagan Inbhir Pheorsa,Electric kWh,24016.5797752437,2017/18
7002,Gaelic Playgroup - Croileagan Inbhir Pheorsa,Gas kWh,0.0,2017/18
7003,Gaelic Playgroup - Croileagan Inbhir Pheorsa,Oil kWh,0.0,2017/18
7004,Gaelic Playgroup - Croileagan Inbhir Pheorsa,Propane kWh,0.0,2017/18
7005,Gaelic Playgroup - Croileagan Inbhir Pheorsa,Water m3,0.0,2017/18
7006,Gairloch High School,Biomass kWh,627599.9999999863,2017/18
7007,Gairloch High School,Electric kWh,234103.4804347402,2017/18
7008,Gairloch High School,Gas kWh,0.0,2017/18
7009,Gairloch High School,Oil kWh,0.0,2017/18
7010,Gairloch High School,Propane kWh,0.0,2017/18
7011,Gairloch High School,Water m3,248.9999999971,2017/18
7012,Gairloch Primary School,Biomass kWh,209199.9999999803,2017/18
7013,Gairloch Primary School,Electric kWh,31749.999999985,2017/18
7014,Gairloch Primary School,Gas kWh,0.0,2017/18
7015,Gairloch Primary School,Oil kWh,0.0,2017/18
7016,Gairloch Primary School,Propane kWh,0.0,2017/18
7017,Gairloch Primary School,Water m3,4493.9999999899,2017/18
7018,Gergask Primary School,Biomass kWh,0.0,2017/18
7019,Gergask Primary School,Electric kWh,71717.9999999846,2017/18
7020,Gergask Primary School,Gas kWh,0.0,2017/18
7021,Gergask Primary School,Oil kWh,0.0,2017/18
7022,Gergask Primary School,Propane kWh,0.0,2017/18
7023,Gergask Primary School,Water m3,0.0,2017/18
7024,Gledfield Primary School,Biomass kWh,0.0,2017/18
7025,Gledfield Primary School,Electric kWh,135834.7999999607,2017/18
7026,Gledfield Primary School,Gas kWh,0.0,2017/18
7027,Gledfield Primary School,Oil kWh,0.0,2017/18
7028,Gledfield Primary School,Propane kWh,0.0,2017/18
7029,Gledfield Primary School,Water m3,326.9999999612,2017/18
7030,Glencoe Primary School,Biomass kWh,0.0,2017/18
7031,Glencoe Primary School,Electric kWh,57457.9999999628,2017/18
7032,Glencoe Primary School,Gas kWh,0.0,2017/18
7033,Glencoe Primary School,Oil kWh,0.0,2017/18
7034,Glencoe Primary School,Propane kWh,0.0,2017/18
7035,Glencoe Primary School,Water m3,0.0,2017/18
7036,Glenelg Primary School,Biomass kWh,0.0,2017/18
7037,Glenelg Primary School,Electric kWh,71371.999999977,2017/18
7038,Glenelg Primary School,Gas kWh,0.0,2017/18
7039,Glenelg Primary School,Oil kWh,0.0,2017/18
7040,Glenelg Primary School,Propane kWh,0.0,2017/18
7041,Glenelg Primary School,Water m3,4278.9999999736,2017/18
7042,Glenurquhart Primary School,Biomass kWh,144809.9999999784,2017/18
7043,Glenurquhart Primary School,Electric kWh,67276.3999999725,2017/18
7044,Glenurquhart Primary School,Gas kWh,0.0,2017/18
7045,Glenurquhart Primary School,Oil kWh,5845.6125827584,2017/18
7046,Glenurquhart Primary School,Propane kWh,0.0,2017/18
7047,Glenurquhart Primary School,Water m3,741.9999999734,2017/18
7048,Golspie High School,Biomass kWh,0.0,2017/18
7049,Golspie High School,Electric kWh,451166.9999999715,2017/18
7050,Golspie High School,Gas kWh,0.0,2017/18
7051,Golspie High School,Oil kWh,0.0,2017/18
7052,Golspie High School,Propane kWh,0.0,2017/18
7053,Golspie High School,Water m3,2321.9999999809,2017/18
7054,Golspie Primary School,Biomass kWh,310029.999999981,2017/18
7055,Golspie Primary School,Electric kWh,109556.7999999504,2017/18
7056,Golspie Primary School,Gas kWh,0.0,2017/18
7057,Golspie Primary School,Oil kWh,0.0,2017/18
7058,Golspie Primary School,Propane kWh,0.0,2017/18
7059,Golspie Primary School,Water m3,207.2068965376,2017/18
7060,Golspie Youth Centre / Comm' Ed' Office,Biomass kWh,0.0,2017/18
7061,Golspie Youth Centre / Comm' Ed' Office,Electric kWh,65614.9999999818,2017/18
7062,Golspie Youth Centre / Comm' Ed' Office,Gas kWh,0.0,2017/18
7063,Golspie Youth Centre / Comm' Ed' Office,Oil kWh,0.0,2017/18
7064,Golspie Youth Centre / Comm' Ed' Office,Propane kWh,0.0,2017/18
7065,Golspie Youth Centre / Comm' Ed' Office,Water m3,136.9999999865,2017/18
7066,Grantown Grammar School,Biomass kWh,0.0,2017/18
7067,Grantown Grammar School,Electric kWh,581630.9999999657,2017/18
7068,Grantown Grammar School,Gas kWh,0.0,2017/18
7069,Grantown Grammar School,Oil kWh,148190.3147286454,2017/18
7070,Grantown Grammar School,Propane kWh,0.0,2017/18
7071,Grantown Grammar School,Water m3,39659.2068965398,2017/18
7072,Grantown Primary School,Biomass kWh,360069.999999987,2017/18
7073,Grantown Primary School,Electric kWh,160160.1999999595,2017/18
7074,Grantown Primary School,Gas kWh,0.0,2017/18
7075,Grantown Primary School,Oil kWh,0.0,2017/18
7076,Grantown Primary School,Propane kWh,0.0,2017/18
7077,Grantown Primary School,Water m3,-14659.0000000361,2017/18
7078,Halkirk Primary school,Biomass kWh,358259.9999999847,2017/18
7079,Halkirk Primary school,Electric kWh,53354.1999999639,2017/18
7080,Halkirk Primary school,Gas kWh,0.0,2017/18
7081,Halkirk Primary school,Oil kWh,14178.2894736694,2017/18
7082,Halkirk Primary school,Propane kWh,0.0,2017/18
7083,Halkirk Primary school,Water m3,1421.999999997,2017/18
7084,Helmsdale Primary School,Biomass kWh,0.0,2017/18
7085,Helmsdale Primary School,Electric kWh,35960.9999999814,2017/18
7086,Helmsdale Primary School,Gas kWh,0.0,2017/18
7087,Helmsdale Primary School,Oil kWh,34032.8571428419,2017/18
7088,Helmsdale Primary School,Propane kWh,0.0,2017/18
7089,Helmsdale Primary School,Water m3,270.9999999815,2017/18
7090,Hill of Fearn Primary School,Biomass kWh,0.0,2017/18
7091,Hill of Fearn Primary School,Electric kWh,60383.3369564868,2017/18
7092,Hill of Fearn Primary School,Gas kWh,0.0,2017/18
7093,Hill of Fearn Primary School,Oil kWh,0.0,2017/18
7094,Hill of Fearn Primary School,Propane kWh,0.0,2017/18
7095,Hill of Fearn Primary School,Water m3,119.9999999655,2017/18
7096,Hillhead Primary School,Biomass kWh,0.0,2017/18
7097,Hillhead Primary School,Electric kWh,0.0,2017/18
7098,Hillhead Primary School,Gas kWh,0.0,2017/18
7099,Hillhead Primary School,Oil kWh,0.0,2017/18
7100,Hillhead Primary School,Propane kWh,0.0,2017/18
7101,Hillhead Primary School,Water m3,730.0,2017/18
7102,Hilton Primary School (Fearn),Biomass kWh,233199.9999999826,2017/18
7103,Hilton Primary School (Fearn),Electric kWh,56125.9999999761,2017/18
7104,Hilton Primary School (Fearn),Gas kWh,0.0,2017/18
7105,Hilton Primary School (Fearn),Oil kWh,0.0,2017/18
7106,Hilton Primary School (Fearn),Propane kWh,0.0,2017/18
7107,Hilton Primary School (Fearn),Water m3,4284.999999976,2017/18
7108,Hilton Primary School (Inv.),Biomass kWh,273879.9999999866,2017/18
7109,Hilton Primary School (Inv.),Electric kWh,90455.1999999766,2017/18
7110,Hilton Primary School (Inv.),Gas kWh,142432.3599999935,2017/18
7111,Hilton Primary School (Inv.),Oil kWh,4491.7843137228,2017/18
7112,Hilton Primary School (Inv.),Propane kWh,0.0,2017/18
7113,Hilton Primary School (Inv.),Water m3,2014.7931034189,2017/18
7114,Holm Primary Janitors House,Biomass kWh,0.0,2017/18
7115,Holm Primary Janitors House,Electric kWh,6486.9999999843,2017/18
7116,Holm Primary Janitors House,Gas kWh,20775.3899999842,2017/18
7117,Holm Primary Janitors House,Oil kWh,0.0,2017/18
7118,Holm Primary Janitors House,Propane kWh,0.0,2017/18
7119,Holm Primary Janitors House,Water m3,0.0,2017/18
7120,Holm Primary School,Biomass kWh,0.0,2017/18
7121,Holm Primary School,Electric kWh,10994.9999999881,2017/18
7122,Holm Primary School,Gas kWh,407176.7999999844,2017/18
7123,Holm Primary School,Oil kWh,0.0,2017/18
7124,Holm Primary School,Propane kWh,0.0,2017/18
7125,Holm Primary School,Water m3,2406.3607426759,2017/18
7126,Inver Primary School,Biomass kWh,0.0,2017/18
7127,Inver Primary School,Electric kWh,67702.9999999841,2017/18
7128,Inver Primary School,Gas kWh,0.0,2017/18
7129,Inver Primary School,Oil kWh,0.0,2017/18
7130,Inver Primary School,Propane kWh,0.0,2017/18
7131,Inver Primary School,Water m3,263.9999999891,2017/18
7132,Inverasdale Primary School,Biomass kWh,0.0,2017/18
7133,Inverasdale Primary School,Electric kWh,48527.1999999823,2017/18
7134,Inverasdale Primary School,Gas kWh,0.0,2017/18
7135,Inverasdale Primary School,Oil kWh,0.0,2017/18
7136,Inverasdale Primary School,Propane kWh,0.0,2017/18
7137,Inverasdale Primary School,Water m3,16.9999999941,2017/18
7138,Invergarry Primary School,Biomass kWh,0.0,2017/18
7139,Invergarry Primary School,Electric kWh,50905.8999999834,2017/18
7140,Invergarry Primary School,Gas kWh,0.0,2017/18
7141,Invergarry Primary School,Oil kWh,0.0,2017/18
7142,Invergarry Primary School,Propane kWh,0.0,2017/18
7143,Invergarry Primary School,Water m3,0.0,2017/18
7144,Invergordon Academy,Biomass kWh,466156.9999999838,2017/18
7145,Invergordon Academy,Electric kWh,203475.9999999557,2017/18
7146,Invergordon Academy,Gas kWh,0.0,2017/18
7147,Invergordon Academy,Oil kWh,67103.3333333136,2017/18
7148,Invergordon Academy,Propane kWh,0.0,2017/18
7149,Invergordon Academy,Water m3,1208.6551724049,2017/18
7150,Inverlochy Primary School,Biomass kWh,148819.9999999815,2017/18
7151,Inverlochy Primary School,Electric kWh,44119.8999999775,2017/18
7152,Inverlochy Primary School,Gas kWh,0.0,2017/18
7153,Inverlochy Primary School,Oil kWh,14031.9999999726,2017/18
7154,Inverlochy Primary School,Propane kWh,0.0,2017/18
7155,Inverlochy Primary School,Water m3,630.9999999829,2017/18
7156,Inverlochy School Kitchen Building,Biomass kWh,0.0,2017/18
7157,Inverlochy School Kitchen Building,Electric kWh,30840.9999999939,2017/18
7158,Inverlochy School Kitchen Building,Gas kWh,0.0,2017/18
7159,Inverlochy School Kitchen Building,Oil kWh,0.0,2017/18
7160,Inverlochy School Kitchen Building,Propane kWh,0.0,2017/18
7161,Inverlochy School Kitchen Building,Water m3,0.0,2017/18
7162,Inverness Child Guidance Centre,Biomass kWh,0.0,2017/18
7163,Inverness Child Guidance Centre,Electric kWh,84683.3770491464,2017/18
7164,Inverness Child Guidance Centre,Gas kWh,0.0,2017/18
7165,Inverness Child Guidance Centre,Oil kWh,0.0,2017/18
7166,Inverness Child Guidance Centre,Propane kWh,0.0,2017/18
7167,Inverness Child Guidance Centre,Water m3,0.0,2017/18
7168,Inverness High School,Biomass kWh,307399.9999999816,2017/18
7169,Inverness High School,Electric kWh,303258.9999999674,2017/18
7170,Inverness High School,Gas kWh,2208679.8099999796,2017/18
7171,Inverness High School,Oil kWh,10221.081669679,2017/18
7172,Inverness High School,Propane kWh,0.0,2017/18
7173,Inverness High School,Water m3,2537.9999999522,2017/18
7174,Inverness Royal Academy,Biomass kWh,0.0,2017/18
7175,Inverness Royal Academy,Electric kWh,929190.999999981,2017/18
7176,Inverness Royal Academy,Gas kWh,0.0,2017/18
7177,Inverness Royal Academy,Oil kWh,0.0,2017/18
7178,Inverness Royal Academy,Propane kWh,71294.6666666649,2017/18
7179,Inverness Royal Academy,Water m3,0.0,2017/18
7180,Inverness Royal Academy (Old),Biomass kWh,0.0,2017/18
7181,Inverness Royal Academy (Old),Electric kWh,0.0,2017/18
7182,Inverness Royal Academy (Old),Gas kWh,0.0,2017/18
7183,Inverness Royal Academy (Old),Oil kWh,0.0,2017/18
7184,Inverness Royal Academy (Old),Propane kWh,0.0,2017/18
7185,Inverness Royal Academy (Old),Water m3,7367.9999999737,2017/18
7186,Jannys Hoose Healthy Living Centre,Biomass kWh,0.0,2017/18
7187,Jannys Hoose Healthy Living Centre,Electric kWh,3382.3461538224,2017/18
7188,Jannys Hoose Healthy Living Centre,Gas kWh,19218.7099999841,2017/18
7189,Jannys Hoose Healthy Living Centre,Oil kWh,0.0,2017/18
7190,Jannys Hoose Healthy Living Centre,Propane kWh,0.0,2017/18
7191,Jannys Hoose Healthy Living Centre,Water m3,0.0,2017/18
7192,Keiss Primary School,Biomass kWh,0.0,2017/18
7193,Keiss Primary School,Electric kWh,94442.0999999673,2017/18
7194,Keiss Primary School,Gas kWh,0.0,2017/18
7195,Keiss Primary School,Oil kWh,0.0,2017/18
7196,Keiss Primary School,Propane kWh,0.0,2017/18
7197,Keiss Primary School,Water m3,611.9999999902,2017/18
7198,Kilchoan Primary School,Biomass kWh,92398.6470588106,2017/18
7199,Kilchoan Primary School,Electric kWh,14646.9999999749,2017/18
7200,Kilchoan Primary School,Gas kWh,0.0,2017/18
7201,Kilchoan Primary School,Oil kWh,0.0,2017/18
7202,Kilchoan Primary School,Propane kWh,0.0,2017/18
7203,Kilchoan Primary School,Water m3,2415.9999999884,2017/18
7204,Kilchuimen Academy,Biomass kWh,300599.9999999839,2017/18
7205,Kilchuimen Academy,Electric kWh,95202.3999999883,2017/18
7206,Kilchuimen Academy,Gas kWh,0.0,2017/18
7207,Kilchuimen Academy,Oil kWh,4808.9887640322,2017/18
7208,Kilchuimen Academy,Propane kWh,0.0,2017/18
7209,Kilchuimen Academy,Water m3,-17108.3793103543,2017/18
7210,Killen Resource Centre,Biomass kWh,0.0,2017/18
7211,Killen Resource Centre,Electric kWh,39867.9560439084,2017/18
7212,Killen Resource Centre,Gas kWh,0.0,2017/18
7213,Killen Resource Centre,Oil kWh,0.0,2017/18
7214,Killen Resource Centre,Propane kWh,0.0,2017/18
7215,Killen Resource Centre,Water m3,0.0,2017/18
7216,Kilmuir Primary School,Biomass kWh,0.0,2017/18
7217,Kilmuir Primary School,Electric kWh,32668.9999999849,2017/18
7218,Kilmuir Primary School,Gas kWh,0.0,2017/18
7219,Kilmuir Primary School,Oil kWh,9934.0588235233,2017/18
7220,Kilmuir Primary School,Propane kWh,0.0,2017/18
7221,Kilmuir Primary School,Water m3,1013.9999999796,2017/18
7222,Kilmuir Schoolhouse,Biomass kWh,0.0,2017/18
7223,Kilmuir Schoolhouse,Electric kWh,25549.9999999899,2017/18
7224,Kilmuir Schoolhouse,Gas kWh,0.0,2017/18
7225,Kilmuir Schoolhouse,Oil kWh,0.0,2017/18
7226,Kilmuir Schoolhouse,Propane kWh,0.0,2017/18
7227,Kilmuir Schoolhouse,Water m3,0.0,2017/18
7228,Kiltearn Primary School,Biomass kWh,156687.9999999822,2017/18
7229,Kiltearn Primary School,Electric kWh,40073.9999999747,2017/18
7230,Kiltearn Primary School,Gas kWh,0.0,2017/18
7231,Kiltearn Primary School,Oil kWh,1158.438287136,2017/18
7232,Kiltearn Primary School,Propane kWh,0.0,2017/18
7233,Kiltearn Primary School,Water m3,926.99999998,2017/18
7234,Kinbrace Primary School,Biomass kWh,0.0,2017/18
7235,Kinbrace Primary School,Electric kWh,0.0,2017/18
7236,Kinbrace Primary School,Gas kWh,0.0,2017/18
7237,Kinbrace Primary School,Oil kWh,0.0,2017/18
7238,Kinbrace Primary School,Propane kWh,0.0,2017/18
7239,Kinbrace Primary School,Water m3,0.0,2017/18
7240,Kingussie High School,Biomass kWh,1060099.9999999907,2017/18
7241,Kingussie High School,Electric kWh,340439.9999999746,2017/18
7242,Kingussie High School,Gas kWh,0.0,2017/18
