LOCATION,TYPE,UNIT,AMOUNT,YEAR
MILTON PRIMARY SCHOOL,OIL,KWH,1361.365351982311,2000/01
MILTON PRIMARY SCHOOL,OIL,£,60.27486471525931,2000/01
MILTON PRIMARY SCHOOL,OIL,£/KWH,0.0442753039274078,2000/01
MOUNT PLEASANT PRIMARY SCHOOL,OIL,KWH,52193.659607003596,2000/01
MOUNT PLEASANT PRIMARY SCHOOL,OIL,£,1106.1025134439433,2000/01
MOUNT PLEASANT PRIMARY SCHOOL,OIL,£/KWH,0.021192277410176485,2000/01
MULBUIE PRIMARY SCHOOL,OIL,KWH,29534.69665313565,2000/01
MULBUIE PRIMARY SCHOOL,OIL,£,636.7092221974101,2000/01
MULBUIE PRIMARY SCHOOL,OIL,£/KWH,0.02155800784667317,2000/01
MUNLOCHY PRIMARY SCHOOL,OIL,KWH,720.4180737435627,2000/01
MUNLOCHY PRIMARY SCHOOL,OIL,£,25.580062038720726,2000/01
MUNLOCHY PRIMARY SCHOOL,OIL,£/KWH,0.03550724637681162,2000/01
OBSDALE PRIMARY SCHOOL,OIL,KWH,36803.906337183485,2000/01
OBSDALE PRIMARY SCHOOL,OIL,£,824.5289253526616,2000/01
OBSDALE PRIMARY SCHOOL,OIL,£/KWH,0.022403299198694812,2000/01
PARK PRIMARY SCHOOL,OIL,KWH,10010.724285709919,2000/01
PARK PRIMARY SCHOOL,OIL,£,250.9924504829183,2000/01
PARK PRIMARY SCHOOL,OIL,£/KWH,0.025072356736585415,2000/01
RAIGMORE PRIMARY SCHOOL,OIL,KWH,2111.142708082266,2000/01
RAIGMORE PRIMARY SCHOOL,OIL,£,86.28159149639836,2000/01
RAIGMORE PRIMARY SCHOOL,OIL,£/KWH,0.040869615855943446,2000/01
ROSEBANK PRIMARY SCHOOL,OIL,KWH,9315.0,2000/01
ROSEBANK PRIMARY SCHOOL,OIL,£,210.231,2000/01
ROSEBANK PRIMARY SCHOOL,OIL,£/KWH,0.022569082125603865,2000/01
SMITHTON PRIMARY SCHOOL,OIL,KWH,1388.6666319774963,2000/01
SMITHTON PRIMARY SCHOOL,OIL,£,56.75414785544412,2000/01
SMITHTON PRIMARY SCHOOL,OIL,£/KWH,0.040869526600941494,2000/01
SOUTH LODGE PRIMARY SCHOOL,OIL,KWH,1933.6304890272784,2000/01
SOUTH LODGE PRIMARY SCHOOL,OIL,£,79.02663737763656,2000/01
SOUTH LODGE PRIMARY SCHOOL,OIL,£/KWH,0.04086956521739129,2000/01
ST CLEMENTS SPECIAL SCHOOL,OIL,KWH,636.452645682701,2000/01
ST CLEMENTS SPECIAL SCHOOL,OIL,£,23.244357494498654,2000/01
ST CLEMENTS SPECIAL SCHOOL,OIL,£/KWH,0.0365217391304348,2000/01
ST JOSEPH'S RC PRIMARY SCHOOL,OIL,KWH,23062.292911388533,2000/01
ST JOSEPH'S RC PRIMARY SCHOOL,OIL,£,499.8550454594071,2000/01
ST JOSEPH'S RC PRIMARY SCHOOL,OIL,£/KWH,0.021674126132209977,2000/01
TAIN ROYAL ACADEMY,OIL,KWH,53414.945598114675,2000/01
TAIN ROYAL ACADEMY,OIL,£,1155.5122693722233,2000/01
TAIN ROYAL ACADEMY,OIL,£/KWH,0.021632751965453806,2000/01
TARBAT PRIMARY SCHOOL,OIL,KWH,493.82502367775254,2000/01
TARBAT PRIMARY SCHOOL,OIL,£,14.790894428995488,2000/01
TARBAT PRIMARY SCHOOL,OIL,£/KWH,0.029951690821256042,2000/01
TARRADALE PRIMARY SCHOOL,OIL,KWH,22027.675134283778,2000/01
TARRADALE PRIMARY SCHOOL,OIL,£,438.2319719877853,2000/01
TARRADALE PRIMARY SCHOOL,OIL,£/KWH,0.019894608455784012,2000/01
THURSO HIGH SCHOOL,OIL,KWH,6562.14899007671,2000/01
THURSO HIGH SCHOOL,OIL,£,174.25117611617867,2000/01
THURSO HIGH SCHOOL,OIL,£/KWH,0.02655398046884969,2000/01
ULLAPOOL PRIMARY SCHOOL,OIL,KWH,6384.3516934285635,2000/01
ULLAPOOL PRIMARY SCHOOL,OIL,£,150.39101123867465,2000/01
ULLAPOOL PRIMARY SCHOOL,OIL,£/KWH,0.023556191522699582,2000/01
WICK HIGH SCHOOL,OIL,KWH,68323.68689943371,2000/01
WICK HIGH SCHOOL,OIL,£,1475.1843776290307,2000/01
WICK HIGH SCHOOL,OIL,£/KWH,0.02159111202239962,2000/01
ABERNETHY PRIMARY SCHOOL,ELECTRICITY,KWH,17859.078758756186,2001/02
ABERNETHY PRIMARY SCHOOL,ELECTRICITY,£,681.5713557717107,2001/02
ABERNETHY PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.03816385856059573,2001/02
ABERNETHY PRIMARY SCHOOL,OIL,KWH,352322.0511409889,2001/02
ABERNETHY PRIMARY SCHOOL,OIL,£,6878.2865699353915,2001/02
ABERNETHY PRIMARY SCHOOL,OIL,£/KWH,0.019522725153478696,2001/02
ACHARACLE PRIMARY SCHOOL,ELECTRICITY,KWH,5057.733333333331,2001/02
ACHARACLE PRIMARY SCHOOL,ELECTRICITY,£,-205.51439999999994,2001/02
ACHARACLE PRIMARY SCHOOL,ELECTRICITY,£/KWH,-0.040633696253921395,2001/02
ACHFARY PRIMARY SCHOOL,ELECTRICITY,KWH,19753.979809463664,2001/02
ACHFARY PRIMARY SCHOOL,ELECTRICITY,£,1010.355926297173,2001/02
ACHFARY PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.0511469555017534,2001/02
ACHILTIBUIE PRIMARY SCHOOL,ELECTRICITY,KWH,2360.0800268997978,2001/02
ACHILTIBUIE PRIMARY SCHOOL,ELECTRICITY,£,148.74862508406184,2001/02
ACHILTIBUIE PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.06302694120057366,2001/02
ALDOURIE PRIMARY SCHOOL,ELECTRICITY,KWH,6357.8557377049165,2001/02
ALDOURIE PRIMARY SCHOOL,ELECTRICITY,£,484.56177353629977,2001/02
ALDOURIE PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.07621465373343289,2001/02
ALNESS ACADEMY,ELECTRICITY,KWH,15.664276109367998,2001/02
ALNESS ACADEMY,ELECTRICITY,£,29.496586778059985,2001/02
ALNESS ACADEMY,ELECTRICITY,£/KWH,1.8830481901694514,2001/02
ALNESS ACADEMY,OIL,KWH,3324675.699131535,2001/02
ALNESS ACADEMY,OIL,£,64564.2674524069,2001/02
ALNESS ACADEMY,OIL,£/KWH,0.01941971888243784,2001/02
ALTNAHARRA PRIMARY SCHOOL,ELECTRICITY,KWH,589.4185844550586,2001/02
ALTNAHARRA PRIMARY SCHOOL,ELECTRICITY,£,53.936549066435106,2001/02
ALTNAHARRA PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.09150805639476338,2001/02
ALTNAHARRA PRIMARY SCHOOL,OIL,KWH,53128.58403024735,2001/02
ALTNAHARRA PRIMARY SCHOOL,OIL,£,1001.9191701996176,2001/02
ALTNAHARRA PRIMARY SCHOOL,OIL,£/KWH,0.018858382704669892,2001/02
ALVIE PRIMARY SCHOOL,ELECTRICITY,KWH,29266.520842876766,2001/02
ALVIE PRIMARY SCHOOL,ELECTRICITY,£,1925.105671781952,2001/02
ALVIE PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.06577842587157083,2001/02
APPLECROSS PRIMARY SCHOOL,ELECTRICITY,KWH,35423.91750767881,2001/02
APPLECROSS PRIMARY SCHOOL,ELECTRICITY,£,1559.5007635805177,2001/02
APPLECROSS PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.04402394972951442,2001/02
ARDERSIER PRIMARY SCHOOL,ELECTRICITY,KWH,239110.7299943914,2001/02
ARDERSIER PRIMARY SCHOOL,ELECTRICITY,£,12322.417975896295,2001/02
ARDERSIER PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.05153435806157812,2001/02
ARDGOUR PRIMARY SCHOOL,ELECTRICITY,KWH,3547.079155672823,2001/02
ARDGOUR PRIMARY SCHOOL,ELECTRICITY,£,163.3798153034301,2001/02
ARDGOUR PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.04606038042374603,2001/02
ARDROSS PRIMARY SCHOOL,ELECTRICITY,KWH,98376.39677252065,2001/02
ARDROSS PRIMARY SCHOOL,ELECTRICITY,£,3583.563362567724,2001/02
ARDROSS PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.0364270646225652,2001/02
ARISAIG RC PRIMARY SCHOOL,OIL,KWH,51143.98169634727,2001/02
ARISAIG RC PRIMARY SCHOOL,OIL,£,965.2013103372582,2001/02
ARISAIG RC PRIMARY SCHOOL,OIL,£/KWH,0.01887223634772639,2001/02
AUCHTERTYRE PRIMARY SCHOOL,ELECTRICITY,KWH,10836.797628773716,2001/02
AUCHTERTYRE PRIMARY SCHOOL,ELECTRICITY,£,787.4715960990661,2001/02
AUCHTERTYRE PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.07266644843566906,2001/02
